inventory_id,supplier_id,product_id,quantity_available,price_per_unit_etb,status,available_date,expiry_date
2db2f5d2-65ae-4dc1-a19d-ae0a751f9f6a,f90879a2-4edd-48b7-b192-21c17e8dbfd5,37991aa9-c063-4d93-be76-436de7d4d076,445.9,16.08,active,2025-09-25,2025-11-08
6a56cd3c-96ba-450b-bf49-2eca09a5df08,f90879a2-4edd-48b7-b192-21c17e8dbfd5,a1ed31a8-e095-4e35-90ce-e942781b263b,120.38,196.11,active,2025-10-11,2025-11-08
d766b942-df87-4a30-b525-0fa0d1ae0b7c,f90879a2-4edd-48b7-b192-21c17e8dbfd5,6baef747-049d-4c05-a248-f2dbc2d4ee51,308.79,52.71,active,2025-10-08,2025-12-07
400c9070-7923-4c1e-b183-925e39a8e250,f90879a2-4edd-48b7-b192-21c17e8dbfd5,372e7a52-b53d-4c4f-9647-224051c5f7e5,286.78,96.1,active,2025-09-24,2025-12-09
5a25e951-85e1-4c52-b46b-b4cd1bc13942,f90879a2-4edd-48b7-b192-21c17e8dbfd5,dde3066f-8a18-4f06-a545-ab25ba0110dd,64.43,60.74,active,2025-10-13,2025-12-07
335994cb-c9b9-43f9-b863-82478d41ea66,f90879a2-4edd-48b7-b192-21c17e8dbfd5,c24777f2-8b1b-4381-af09-dc5247b5cb4e,240.36,153.44,active,2025-09-23,2025-11-17
51a2463a-ad44-403c-8aa7-e95252ffa202,f90879a2-4edd-48b7-b192-21c17e8dbfd5,ff98e03f-3071-4fea-97df-68c77eb81ee7,178.6,32.59,active,2025-09-23,2025-10-19
6bac6330-3bf6-413c-b1a8-6a577dcc0a7c,f90879a2-4edd-48b7-b192-21c17e8dbfd5,730ca54b-202c-4ba7-ac29-59209b3798cc,283.2,138.54,active,2025-09-29,2025-10-14
b864a4d3-b359-41ee-bfae-3270063c080c,f90879a2-4edd-48b7-b192-21c17e8dbfd5,98dde7ab-8fc5-4343-8945-2413e8bf5372,288.31,37.18,active,2025-09-19,2025-10-02
51805c28-1dd1-47cd-ba5a-394724458daa,f90879a2-4edd-48b7-b192-21c17e8dbfd5,a6db1ee0-fa06-4a13-8248-43c69d2d8c37,29.58,1652.29,active,2025-09-26,2025-10-04
26a42615-5775-4196-8f07-dcace97fc1f4,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,924510be-6c80-43b9-8581-a630a05bb51c,124.8,30.97,active,2025-10-02,2025-11-30
5cdad554-323d-4c26-a34e-3ad780314f34,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,e6358357-1cec-42e2-86a1-1b2b949aa4de,188.24,125.11,active,2025-09-26,2025-12-14
5b7419b1-1e97-46d7-bdd2-63fa19e4c2e9,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,372e7a52-b53d-4c4f-9647-224051c5f7e5,448.7,103.75,active,2025-09-22,2025-10-09
f8520d3d-b362-4ac1-bf1d-c3ac1980fd42,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,6baef747-049d-4c05-a248-f2dbc2d4ee51,408.14,53.26,active,2025-10-17,2025-11-04
9f17214f-6863-42c4-ab87-a8be04c66d10,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,37991aa9-c063-4d93-be76-436de7d4d076,101.05,15.9,active,2025-10-09,2025-12-15
1575e668-72c1-446f-a29a-ef58a7f79332,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,c24777f2-8b1b-4381-af09-dc5247b5cb4e,117.85,147.03,active,2025-09-26,2025-12-04
2fe9960a-4213-4dff-afb7-9767cdc9f782,fd6d66ff-b0c7-4f8d-b4a0-516aeb7f9e6c,7f25d816-2c32-4b3e-83e0-8eef46fc7afa,81.79,92.54,active,2025-10-04,2025-11-21
